Week,Day,VideoType,Topic,PrimaryAngle
1,Mon,Long,5 Free AI Tools for Students,Practical beginner utility
1,Tue,Short,One free AI tool for faster notes,Fast productivity win
1,Wed,Short,One AI prompt for homework planning,Quick prompt value
1,Thu,Long,Best AI Tools for Resume Building,Job seeker pain point
1,Fri,Short,Canva AI trick in 20 seconds,Fast visual payoff
1,Sat,Short,One website that summarizes PDFs,Student shortcut
1,Sun,Long,7 AI Websites That Save 2 Hours Daily,Broad utility roundup
2,Mon,Short,One AI tool for presentations,Presentation shortcut
2,Tue,Long,ChatGPT Prompts Every Student Should Save,Prompt list format
2,Wed,Short,Turn notes into flashcards with AI,Study payoff
2,Thu,Short,Best free voice AI tool,Curiosity and utility
2,Fri,Long,Best Free AI Video Tools for Beginners,Creator use case
2,Sat,Short,One AI website for resumes,Job seeker pain point
2,Sun,Long,AI Tools to Start a Simple Side Hustle,Income angle
3,Mon,Short,3 AI websites for students,Fast list format
3,Tue,Long,Canva AI Tricks Most People Miss,Tool-specific depth
3,Wed,Short,One AI tool for email writing,Freelancer utility
3,Thu,Short,One ChatGPT prompt for summaries,Prompt value
3,Fri,Long,Best AI Tools for Freelancers in India,India relevance
3,Sat,Short,One AI image tool for thumbnails,Creator utility
3,Sun,Long,10 Websites That Feel Illegal to Know,Curiosity list
4,Mon,Short,One AI tool for meeting notes,Work utility
4,Tue,Long,How to Make a Presentation in 5 Minutes with AI,Step-by-step tutorial
4,Wed,Short,One AI tool for rewriting text,Quick transformation
4,Thu,Short,Free AI website for grammar fixes,Writing utility
4,Fri,Long,ChatGPT vs Gemini vs Claude for College Work,Comparison format
4,Sat,Short,One AI tool for thumbnail ideas,Creator speed
4,Sun,Long,Best AI Tools for Productivity in 2026,Broad evergreen roundup
